catalog_id	child_asset_type	child_uid	content_date	download_date	lang_id	lang_manual	parent_uid	rel_pos	status_in_corpus	topic	unwrapped_md5	url	version	wrapped_md5
LDC2019E04	.ltf.xml	HC00002ZT	2015-02-16	2017-10-31	eng	eng	IC0011TIB	1.0	present	R103	3cbcf331642f9b5bf841ebb9fd3fbb0a	http://rtwatchcuj.tumblr.com/post/111237757973/who-started-the-shooting-at-maidan-bbc-finds-a	V1	0be5c1bc937d26c35d77496d27c7c1a5
LDC2019E04	.jpg.ldcc	HC00001VE	2015-02-12	2017-10-26	n/a	n/a	IC0011TIJ	4.0	present	R103	fcd3438c970958672c4e196be9c9fc5e	http://newsimg.bbc.co.uk/media/images/67373000/jpg/_67373987_09f1654a-e583-4b5f-bfc4-f05850c6d3ce.jpg	V1	f1add7ed712be983d39efddc2eec018f
LDC2019E04	.jpg.ldcc	HC00001VK	2015-02-12	2017-10-26	n/a	n/a	IC0011TIJ	10.0	present	R103	6aff3d714c177ef9b15960cff927d9c1	http://news.bbcimg.co.uk/media/images/80932000/jpg/_80932016_maidan_snipers_624.jpg	V1	69aae90df5980bb3781424d6867c11b2
LDC2019E04	.jpg.ldcc	HC00001VJ	2015-02-12	2017-10-26	n/a	n/a	IC0011TIJ	9.0	present	R103	7c4dde86aaa00968d5e63614c40000d8	http://news.bbcimg.co.uk/media/images/80934000/jpg/_80934662_maloletkastill1.jpg	V1	a4574d252e8d97e74ec716c7f3ed6146
LDC2019E04	.jpg.ldcc	HC00001VH	2015-02-12	2017-10-26	n/a	n/a	IC0011TIJ	7.0	present	R103	3256e599f97fa46d703286518baa6940	http://news.bbcimg.co.uk/media/images/80913000/jpg/_80913659_injured_reuters.jpg	V1	bca9e353e609bba82c069f00d5819dff
LDC2019E04	.jpg.ldcc	HC00001VI	2015-02-12	2017-10-26	n/a	n/a	IC0011TIJ	8.0	present	R103	e42aab94e9861e1ca54c6683810c228e	http://news.bbcimg.co.uk/media/images/80952000/jpg/_80952411_80952410.jpg	V1	f84bf282da49870c8faf75a715967205
LDC2019E04	.ltf.xml	HC00002ZU	2015-02-12	2017-10-31	eng	eng	IC0011TIJ	1.0	present	R103	984d807adb6ba156f4ac6eb75592f8a0	http://www.bbc.com/news/magazine-31359021	V1	dc77ba5471bdf8c6f07c8a20b775164a
LDC2019E04	.mp4.ldcc	HC0005BPY	2015-02-13	2017-11-14	n/a	n/a	IC0011TK8	4.0	present	R103	d0fe5d9f166dde8a300187e149a0b26a	https://www.youtube.com/watch?v=Ib7EkJD08e4	V1	f630ecaeb20bf374fbda397c123242a7
LDC2019E04	.ltf.xml	HC00002ZY	2015-02-13	2017-10-31	eng	eng	IC0011TK8	1.0	present	R103	2ac6e60dcdeed6eafa6de5aa7dee5d6a	https://www.rt.com/news/231775-bbc-maidan-shooting-started/	V1	68c409a9766f23825376e4d3f23c80f2
LDC2019E04	.mp4.ldcc	IC0019N4H	2015-02-13	2018-02-01	n/a	n/a	IC0011TK8	6.0	present	R103	7498d8988890848ce5f2c315a8bb943c	https://www.youtube.com/embed/lPsxyKRkuCU	V1	aae801e2d5717dfd6f7d7f92571161be
