LOC.GeographicPoint.Address	address
ORG.Government.Agency	administrative
VEH.Aircraft.Airplane	airplane, plane
FAC.Installation.Airport	airport, airfield
LOC.Position.AirSpace	airspace
PER.ProfessionalPosition.Ambassador	ambassador
WEA.Bullets.Ammunition	ammunition
FAC.Building.ApartmentBuilding	apartment, hotel
PER.MilitaryPersonnel	armed, forces, soldiers, troops
PER.Politician.HeadOfGovernment	president, prime minister, Barack Obama, Obama, vladimir putin, Vladimir Putin, Putin, Thein Sein, Hamid Ansari, Joko Widodo, Petro Poroshenko, Poroshenko, Viktor Yanukovych, Yanukovych, Yanukovychs
WEA.Gun.Artillery	artillery
MON.Assets.Assets	asset
ORG.Association	association
FAC.Structure.Barricade	barricade, roadblock, barricades
WEA.Club.Bat	bat
VEH.Watercraft.Boat	boat
FAC.GeographicalArea.Border	border, boundary
FAC.Structure.Bridge	bridge
FAC.Building	building, hospital
VEH.WheeledVehicle.Bus	bus
WEA.Cannon.Cannon	cannon
VEH.WheeledVehicle.Car	car
MON.Cash.Cash	cash, dollor
FAC.GeographicalArea.Checkpoint	checkpoint, checkpoints
PER.Police.ChiefOfPolice	chief of police
GPE.UrbanArea.City	city, capital
ORG.Association.Club	club
WEA.Club	club
ORG.International.Commission	commission
ORG.Government.LegislativeBody	congress, parliament, legislative, legislature
LOC.Land.Continent	continent
ORG.CommercialOrganization.Corporation	corporations
ORG.Government.Council	council
GPE.Country.Country	country, national, nation, north korea, russia, Ukraine, nationals
ORG.PoliticalOrganization.Court	court
LOC.Position.CrimeScene	crime scene
ORG.CriminalOrganization.CriminalOrganization	criminal organization
FAC.Building.GovernmentBuilding	department, government
PER.Fan	fans
LOC.Position.Field	field
ORG.Government.FireDepartment	fire department
PER.ProfessionalPosition.Firefighter	firefighter
PER.Fan.SportsFan	football fans
WEA.Gas	gas
PER.Politician.Governor	governor
WEA.Bomb.Grenade	grenade
WEA.GrenadeLauncher.GrenadeLauncher	grenade launcher
WEA.Gun.Firearm	gun, firearm, gunshot
WEA.DaggerKnifeSword.Hatchet	hatchet
VEH.Aircraft.Helicopter	helicopter
FAC.Way.Highway	highway
FAC.Building.House	house, home
ORG.MilitaryOrganization.Intelligence	intelligence
PER.ProfessionalPosition.Journalist	journalist
WEA.DaggerKnifeSword	knife, sword, dagger
LOC.Land	land, island
LAW	law, referendum, act, regulation, statute, ordinance
ORG.CommercialOrganization.Manufacturer	manufacturer
PER.Politician.Mayor	mayor
PER.Combatant.Mercenary	mercenary, добровольці, volunteer, militiamen
FAC.Installation.MilitaryInstallation	military
ORG.MilitaryOrganization.GovernmentArmedForces	military, forces, troops
PER.ProfessionalPosition.Minister	minister, Tymoshenko
WEA.MissileSystem.Missile	missle
WEA.MissileSystem.MissileLauncher	missle laucher
MON	money, currency
ORG.International.MonitoringGroup	monitoring group
LOC.Position.Neighborhood	neighborhood
ORG.CommercialOrganization.NewsAgency	news, newspapers
FAC.Building.OfficeBuilding	office
PER.ProfessionalPosition.Paramedic	paramedic
ORG.PoliticalOrganization.Party	party
FAC.Structure.Plaza	plaza, square
WEA.Gas.PoisonGas	poison gas
PER.Police	police, policeman
ORG.Government.ProsecutorOffice	prosecutor
PER.Protester	protester, demonstrators, activists
GPE.ProvinceState.ProvinceState	province, state,
ORG.Government.Railway	railway, railroad
LAW.Referendum.Referendum	referendum, vote
LOC.Position.Region	region
WEA.ThrownProjectile.Rock	rock
VEH.Rocket.Rocket	rocket
WEA.Bullets.RubberBullets	rubber bullets
FAC.Building.School	school, schools
PER.ProfessionalPosition.Scientist	scientist, professor, scholars
PER.Combatant.Sniper	sniper
PER.Combatant	combatant, combat
PER.ProfessionalPosition.Spokesperson	spokesperson, spokesman
PER.ProfessionalPosition.Spy	spy
FAC.Building.StoreShop	store, shop
FAC.Way.Street	street, sidewalk, streets
VEH.MilitaryVehicle.Tank	tank
ORG.Association.Team	team
WEA.Gas.TearGas	tear gas
FAC.Structure.Tower	tower
VEH.WheeledVehicle.Train	train
FAC.Installation.TrainStation	train, railway
VEH.WheeledVehicle.Truck	truck
ORG.CommercialOrganization.BroadcastingCompany	tv station, radio station, broadcasting
GPE.OrganizationOfCountries.OrganizationOfCountries	UN, United Nations, EU, European Union, U.N., the United Nations, the European Union
GPE.UrbanArea.Village	village
FAC.Building.VotingFacility	voting, polling
FAC.Way	way
VEH.Watercraft.Yacht	yacht
